Desc	Publish Date	Currency	Price	Año	Color	Tipo de combustible	Puertas	Transmisión	Motor	Tipo de carrocería	Kilómetros	Codigo	Seller Type	Reputation Code	Brand	Model	Loc1	Loc2	Loc3
Renault Clio 1.2 Mio Confort Abs Abcp	2020-02-12	$	650000	2015	Negro	Nafta	3	Manual	1.2	Hatchback	66000	MLA899662591	car_dealer	4_light_green	Renault	Clio	Bs.As. G.B.A. Norte	San Isidro	Martínez
Renault Clio 1.2 Mio Dynamique	2020-11-12	$	840000	2016	Blanco	Nafta	5	Manual	1.2	Hatchback	32886	MLA900670709	normal	none	Renault	Clio	Córdoba	San Francisco	none
Renault Clio 1.2 Mio Confort Plus Abs Abcp	2020-12-19	U$S	4300	2014	Gris	Nafta	5	Manual	1.2	Hatchback	80000	MLA901701110	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Tigre	El Talar de Pacheco
Renault Clio 1.2 Mio Work	2020-01-12	$	650000	2016	Blanco	Nafta	3	Manual	1.2	Hatchback	52000	MLA899582038	normal	none	Renault	Clio	Buenos Aires Interior	Chascomús	Chascomús
Renault Clio 1.2 Pack	2020-12-18	$	580000	2011		Nafta	5	Manual	1.2	Hatchback	70500	MLA901632432	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Vicente López	none
Renault Clio 1.2 Campus Pack Ii 75cv	2020-12-21	$	503000	2012		Nafta	3	Manual	1.2	Hatchback	117000	MLA901861591	normal	none	Renault	Clio	Salta	Salta	none
Renault Clio 1.2 Pack	2020-08-29	$	515000	2011	Negro	Nafta	5	Manual	1.2	Hatchback	150000								
Renault Clio 1.2 Mio Confort Plus Abs Abcp	2020-12-18	$	699900	2015	Gris	Nafta	3	Manual	1.2	Hatchback	36000	MLA901588758	car_dealer	4_light_green	Renault	Clio	Capital Federal	Capital Federal	Floresta
Renault Clio 1.2 Pack Plus	2020-12-15	$	450000	2010	Negro	Nafta	5	Manual	1.2	Hatchback	154000	MLA901190999	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	San Isidro	Boulogne Sur Mer
Renault Clio 1.2 Campus Pack I 75cv	2020-08-12	$	480000	2012		Nafta	3	Manual	1.2	Hatchback	59000	MLA900312453	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	General San Martín	none
Renault Clio 1.2 Mio Confort Plus Abc	2020-12-21	$	595000	2014	Blanco	Nafta	5	Manual	1.2	Hatchback	129200	MLA901832319	normal	none	Renault	Clio	Buenos Aires Interior	San Andrés de Giles	none
Renault Clio 1.2 Pack Plus	2020-12-21	$	431000	2011	Plateado	Nafta	5	Manual	1.2	Hatchback	94000	MLA901844638	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Pilar	Pilar
Renault Clio 1.2 Mío Authentique Pack Look	2020-07-12	$	585000	2013		Nafta	5	Manual	1.2	Hatchback	84000	MLA900222271	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Tigre	none
Renault Clio 1.2 Authentique Pack Ii 75cv	2020-12-12	$	584155	2012	Negro	Nafta	3	Manual	1.2	Hatchback	121000	MLA900811332	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Escobar	Ingeniero Maschwitz
Renault Clio 1.2 Pack Plus	2020-12-23	$	485000	2010	Rojo	Nafta	3	Manual	1.2	Hatchback	119000	MLA902124021	normal	none	Renault	Clio	Capital Federal	Capital Federal	Caballito
Renault Clio 1.2 Mío Expression Pack I	2020-11-18	$	650000	2013	Negro	Nafta	5	Manual	1.2	Hatchback	67000	MLA897727487	normal	none	Renault	Clio	Capital Federal	Capital Federal	Palermo
Renault Clio 1.2 Mio Confort Plus Abc	2020-11-26	$	718000	2015	Gris	Nafta	5	Manual	1.2	Hatchback	62000	MLA901391988	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Tigre	El Talar de Pacheco
Renault Clio 1.2 Mio Confort Plus Abc	2020-12-17	$	670000	2014	Gris	Nafta	3	Manual	1.2	Hatchback	48000	MLA901485556	car_dealer	4_light_green	Renault	Clio	Capital Federal	Capital Federal	Villa Devoto
Renault Clio 1.2 Mio Confort Plus Abs Abcp	2020-12-19	$	638000	2014	Gris	Nafta	5	Manual	1.2	Hatchback	80000	MLA901699202	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Tigre	El Talar de Pacheco
Renault Clio 1.2 Pack Plus	2020-12-15	$	540000	2011	Dorado	Nafta	3	Manual	1.2	Hatchback	74200	MLA901148220	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	San Justo
Renault Clio 1.2 Authentique Pack	2020-02-12	$	380000	2006	Gris	Nafta	5	Manual	1.2	Hatchback	145000								
Renault Clio Clio Mio 5p Dynamiqe	2020-12-14	$	680000	2015		Nafta	5				50000	MLA901089931	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Morón	none
Renault Clio 1.2 Mio Confort Plus Abs Abcp	2020-12-22	$	615000	2014		Nafta	5	Manual	1.2	Hatchback	130000	MLA901948326	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	La Plata	none
Renault Clio 1.2 Mío Authentique Pack Abs Abcp	2020-12-11	$	670000	2015		Nafta	5	Manual	1.2	Hatchback	46000								
Renault Clio 1.2 Authentique Pack I 75cv	2020-03-12	$	500000	2012		Nafta	3	Manual	1.2	Hatchback	86000	MLA899795828	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Tres de febrero	none
Renault Clio 1.2 Mio Confort Plus Abs Abcp	2020-12-19	$	630000	2014		Nafta	5	Manual	1.2	Hatchback	57000	MLA901692748	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
