Desc	Publish Date	Currency	Price	Año	Color	Tipo de combustible	Puertas	Transmisión	Motor	Tipo de carrocería	Kilómetros	Codigo	Seller Type	Reputation Code	Brand	Model	Loc1	Loc2	Loc3
Renault Clio Dynamique 1.2 Nafta 	9/10/2020	$	 640.000 	2015		Nafta	5				 94.000 	MLA878033591	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Sur	Almirante Brown	none
Renault Clio 1.2 Mío Expression Pack I	12/11/2020	$	 550.000 	2013	Gris	Nafta	5	Manual	1.2	Hatchback	 71.493 	MLA900725723	car_dealer	none	Renault	Clio	Buenos Aires Interior	Lobos	Lobos
Renault Clio 1.2 Mio Confort Abs Abcp	23/12/2020	$	 675.000 	2015		Nafta	3	Manual	1.2	Hatchback	 31.000 	MLA902079500	normal	5_green	Renault	Clio	Bs.As. G.B.A. Sur	Florencio Varela	none
Renault Clio 1.2 Mio Confort Abs Abcp	20/12/2020	$	 690.000 	2014		Nafta	3	Manual	1.2	Hatchback	 38.300 	MLA901751386	normal	none	Renault	Clio	Córdoba	Córdoba	none
Renault Clio 1.6 Expression	16/12/2020	$	 450.000 	2003		Nafta	4	Manual	1.6	Sedán	 280.000 	MLA901322178	normal	none	Renault	Clio	Buenos Aires Interior	Brandsen	none
Renault Clio 1.2 Mio Confort Plus Abs Abcp	18/12/2020	$	 590.000 	2014	Rojo	Nafta	5	Manual	1.2	Hatchback	 55.000 	MLA901570427	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Vicente López	Munro
Renaul Clio Mio 2015 Dynamique Full Papeles Al Dia	18/11/2020	$	 702.000 	2015	Gris	Nafta	4	Manual	1.2	Hatchback	 62.504 								
Renault Clio 1.2 Mio Confort Plus Abs Abcp	22/12/2020	$	 720.000 	2014	Blanco	Nafta	5	Manual	1.2	Hatchback	 81.500 	MLA902017882	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Pilar	Pilar
Renault Clio 1.2 Mio Work	16/12/2020	$	 595.000 	2016	Blanco	Nafta	3	Manual	1.2	Hatchback	 98.000 	MLA901282422	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Escobar	Belén de Escobar
Renault Clio 1.2 Mio Dynamique	12/5/2020	$	 950.000 	2016	Plateado	Nafta	3	Manual	1.2	Hatchback	 34.000 	MLA900077321	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	San Isidro	Villa Adelina
Renault Clio 1.2 Mio Confort Plus Abc	17/12/2020	$	 640.000 	2013	Gris	Nafta	5	Manual	1.2	Hatchback	 83.000 	MLA901515304	normal	none	Renault	Clio	Córdoba	Córdoba	Ameghino Sud
Renault Clio 1.6 Privilege 4 p	12/4/2020	$	 350.000 	2003	Azul	Nafta	4	Manual	1.6	Sedán	 160.000 	MLA899917152	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Almirante Brown	Burzaco
Renault Clio 1.2 Mío Expression Pack Ii Ab	17/11/2020	$	 565.000 	2013	Gris	Nafta	3	Manual	1.2	Hatchback	 129.300 	MLA897644573	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Hurlingham	none
Renault Clio 1.2 Mio Dynamique	22/11/2020	$	 715.000 	2016	Negro	Nafta	3	Manual	1.2	Hatchback	 52.000 	MLA898290012	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Lomas de Zamora	none
Renault Clio 1.2 Mio Confort Pack	22/12/2020	$	 630.000 	2016		Nafta	3	Manual	1.2	Hatchback	 70.000 	MLA902020799	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Tres de febrero	none
Renault Clio 1.2 Mio Dynamique	21/12/2020	$	 720.000 	2016	Dorado	Nafta	3	Manual	1.2	Hatchback	 108.000 								
Renault Clio DYNAMIQUE SAT Asesor carlos torres	17/12/2020	$	 739.999 	2016	Blanco	Nafta	5	Manual	1.2	Hatchback	 46.000 	MLA901509389	car_dealer	4_light_green	Renault	Clio	Capital Federal	Capital Federal	Villa Lugano
Renault Clio 2015 Dynamique	23/12/2020	$	 712.000 	2015	Blanco	Nafta	5				 54.300 	MLA902118727	normal	none	Renault	Clio	Capital Federal	Capital Federal	Caballito
Renault Clio 1.2 Mio Confort Pack	11/7/2020	$	 735.000 	2016		Nafta	3	Manual	1.2	Hatchback	 39.500 	MLA896238411	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Berazategui	none
